Date,MF_TuleR_S10_ET_POTENTIAL_IN,MF_TuleR_S10_FLOW_CFS,MF_TuleR_S10_PRECIP_INC_IN,MF_TuleR_S10_SATURATION_FRACTION_ININ,MF_TuleR_S10_STORAGE_GW_1_IN,MF_TuleR_S10_STORAGE_GW_2_IN,MF_TuleR_S10_STORAGE_SOIL_IN,MF_TuleR_S10_SWE_OBSERVED_IN,MF_TuleR_S10_TEMPERATURE_AIR_DEGF,MF_TuleR_S20_ET_POTENTIAL_IN,MF_TuleR_S20_FLOW_CFS,MF_TuleR_S20_PRECIP_INC_IN,MF_TuleR_S20_SATURATION_FRACTION_ININ,MF_TuleR_S20_STORAGE_GW_1_IN,MF_TuleR_S20_STORAGE_GW_2_IN,MF_TuleR_S20_STORAGE_SOIL_IN,MF_TuleR_S20_SWE_OBSERVED_IN,MF_TuleR_S20_TEMPERATURE_AIR_DEGF,NF_TuleR_S10_ET_POTENTIAL_IN,NF_TuleR_S10_FLOW_CFS,NF_TuleR_S10_PRECIP_INC_IN,NF_TuleR_S10_SATURATION_FRACTION_ININ,NF_TuleR_S10_STORAGE_GW_1_IN,NF_TuleR_S10_STORAGE_GW_2_IN,NF_TuleR_S10_STORAGE_SOIL_IN,NF_TuleR_S10_SWE_OBSERVED_IN,NF_TuleR_S10_TEMPERATURE_AIR_DEGF,ReservoirInflow_FLOW_CFS,ReservoirInflow_FLOW_OBSERVED_CFS,SF_TuleR_S10_ET_POTENTIAL_IN,SF_TuleR_S10_FLOW_CFS,SF_TuleR_S10_PRECIP_INC_IN,SF_TuleR_S10_SATURATION_FRACTION_ININ,SF_TuleR_S10_STORAGE_GW_1_IN,SF_TuleR_S10_STORAGE_GW_2_IN,SF_TuleR_S10_STORAGE_SOIL_IN,SF_TuleR_S10_SWE_OBSERVED_IN,SF_TuleR_S10_TEMPERATURE_AIR_DEGF,TuleR_S10_ET_POTENTIAL_IN,TuleR_S10_FLOW_CFS,TuleR_S10_PRECIP_INC_IN,TuleR_S10_SATURATION_FRACTION_ININ,TuleR_S10_STORAGE_GW_1_IN,TuleR_S10_STORAGE_GW_2_IN,TuleR_S10_STORAGE_SOIL_IN,TuleR_S10_SWE_OBSERVED_IN,TuleR_S10_TEMPERATURE_AIR_DEGF,TuleR_S20_ET_POTENTIAL_IN,TuleR_S20_FLOW_CFS,TuleR_S20_PRECIP_INC_IN,TuleR_S20_SATURATION_FRACTION_ININ,TuleR_S20_STORAGE_GW_1_IN,TuleR_S20_STORAGE_GW_2_IN,TuleR_S20_STORAGE_SOIL_IN,TuleR_S20_SWE_OBSERVED_IN,TuleR_S20_TEMPERATURE_AIR_DEGF
10/1/1981,0.010898552,0.02,0.00541,0.39323,0.0000,0.9575,1.9661,0.0000,61.258,0.00780141,0.1,0.00391,0.39531,0.0000,1.434,1.9766,0.000,51.371,0.010722953,0.1,0.00487,0.39433,0.0000,1.432,1.9717,0.0000,60.402,0,16.3,0.010305096,0.1,0.00654,0.39365,0.0000,0.9514,1.9683,0.0000,59.263,0.013883536,0.031,0.00578,0.39070,0.00000,0.9582,1.9535,0,68.741,0.013040862,0.04,0.00685,0.39174,0.0000,0.9566,1.9587,0.00000,66.746
10/2/1981,0.00955075,0.13,0.00515,0.38720,0.0000,0.9786,1.9360,0.0000,57.297,0.006425594,0.7,0.00352,0.39069,0.0000,1.477,1.9535,0.000,45.944,0.009620138,0.8,0.00327,0.38613,0.0000,1.477,1.9306,0.0000,56.908,3,14.2,0.00895627,0.6,0.00654,0.38891,0.0000,0.9786,1.9445,0.0000,54.939,0.014370011,0.180,0.00577,0.37993,0.00000,0.9786,1.8996,0,69.888,0.012740286,0.22,0.00677,0.38435,0.0000,0.9786,1.9217,0.00000,65.973
10/3/1981,0.008346219,0.29,0.00000,0.37983,0.0000,0.9646,1.8991,0.0000,53.445,0.005650788,1.6,0.00000,0.38567,0.0000,1.461,1.9284,0.000,42.527,0.008401928,1.8,0.00000,0.37555,0.0000,1.461,1.8777,0.0000,53.056,6,12.1,0.007834828,1.3,0.00000,0.38488,0.0000,0.9646,1.9244,0.0000,51.188,0.013071879,0.401,0.00000,0.36535,0.00000,0.9646,1.8268,0,67.056,0.011342738,0.48,0.00000,0.37433,0.0000,0.9646,1.8717,0.00000,62.510
10/4/1981,0.007660142,0.47,0.00000,0.36706,0.0000,0.9508,1.8353,0.0000,51.162,0.005376448,2.5,0.00000,0.37738,0.0000,1.446,1.8869,0.000,41.310,0.007638141,2.9,0.00000,0.36283,0.0000,1.446,1.8141,0.0000,50.636,9,15.8,0.007192053,2.1,0.00000,0.37469,0.0000,0.9508,1.8734,0.0000,49.025,0.011266067,0.640,0.00000,0.34688,0.00000,0.9508,1.7344,0,62.659,0.009973654,0.77,0.00000,0.35764,0.0000,0.9508,1.7882,0.00000,58.855
10/5/1981,0.008005927,0.63,0.00000,0.35480,0.0000,0.9372,1.7740,0.0000,52.565,0.005825566,3.4,0.00000,0.36850,0.0000,1.431,1.8425,0.000,43.644,0.00800067,3.9,0.00000,0.35103,0.0000,1.431,1.7551,0.0000,52.183,13,19.8,0.007548086,2.9,0.00000,0.36311,0.0000,0.9372,1.8156,0.0000,50.600,0.011221947,0.870,0.00000,0.33174,0.00000,0.9372,1.6587,0,62.653,0.010142435,1.05,0.00000,0.34285,0.0000,0.9372,1.7142,0.00000,59.491
10/6/1981,0.009699522,0.78,0.00000,0.34196,0.0000,0.9238,1.7098,0.0000,58.297,0.007229762,4.2,0.00000,0.35826,0.0000,1.417,1.7913,0.000,49.793,0.009594074,4.9,0.00000,0.33891,0.0000,1.417,1.6946,0.0000,57.689,16,20.0,0.009180994,3.6,0.00000,0.35052,0.0000,0.9238,1.7526,0.0000,56.448,0.012853506,1.075,0.00000,0.31789,0.00000,0.9238,1.5895,0,66.878,0.011794173,1.29,0.00000,0.32871,0.0000,0.9238,1.6435,0.00000,64.168
10/7/1981,0.009512753,0.91,0.00000,0.32955,0.0000,0.9106,1.6478,0.0000,57.779,0.006863873,4.9,0.00000,0.34774,0.0000,1.402,1.7387,0.000,48.381,0.009365658,5.7,0.00000,0.32725,0.0000,1.402,1.6362,0.0000,56.974,18,16.3,0.008977978,4.2,0.00000,0.33802,0.0000,0.9106,1.6901,0.0000,55.795,0.013288911,1.249,0.00000,0.30514,0.00000,0.9106,1.5257,0,67.992,0.011897867,1.50,0.00000,0.31556,0.0000,0.9106,1.5778,0.00000,64.498
10/8/1981,0.00797994,1.01,0.00000,0.31960,0.0000,0.8976,1.5980,0.0000,52.749,0.0057698,5.5,0.00000,0.33901,0.0000,1.387,1.6951,0.000,43.641,0.007891376,6.3,0.00000,0.31787,0.0000,1.387,1.5894,0.0000,52.068,21,13.2,0.00755258,4.7,0.00000,0.32784,0.0000,0.8976,1.6392,0.0000,50.891,0.011362194,1.392,0.00000,0.29471,0.00000,0.8976,1.4735,0,63.322,0.010123436,1.67,0.00000,0.30508,0.0000,0.8976,1.5254,0.00000,59.734
10/9/1981,0.008308929,1.10,0.00000,0.31137,0.0000,0.8847,1.5568,0.0000,54.067,0.006116495,6.0,0.00000,0.33147,0.0000,1.373,1.6573,0.000,45.373,0.008183204,6.9,0.00000,0.31006,0.0000,1.373,1.5503,0.0000,53.324,22,15.8,0.007847626,5.0,0.00000,0.31936,0.0000,0.8847,1.5968,0.0000,52.175,0.011224418,1.506,0.00000,0.28588,0.00000,0.8847,1.4294,0,63.065,0.010191101,1.81,0.00000,0.29646,0.0000,0.8847,1.4823,0.00000,60.083
10/10/1981,0.00810318,1.16,0.02539,0.30759,0.0000,0.8721,1.5379,0.0000,53.368,0.005582039,6.4,0.03072,0.32782,0.0000,1.359,1.6391,0.012,42.874,0.00800521,7.3,0.01981,0.30496,0.0000,1.359,1.5248,0.0013,52.570,24,16.9,0.007545122,5.3,0.01654,0.31356,0.0000,0.8721,1.5678,0.0000,50.939,0.011834295,1.593,0.02312,0.28004,0.00000,0.8721,1.4002,0,64.754,0.010483162,1.92,0.02417,0.29145,0.0000,0.8721,1.4572,0.00000,60.951
10/11/1981,0.006283154,1.21,0.04133,0.36096,0.0000,0.8596,1.8048,0.0000,46.159,0.003163406,6.6,0.05598,0.35651,0.0000,1.345,1.7826,0.140,34.716,0.006012804,7.6,0.04259,0.33888,0.0000,1.345,1.6944,0.0610,45.514,25,31.1,0.005816793,5.6,0.04294,0.33888,0.0000,0.8596,1.6944,0.0087,43.530,0.009750398,1.659,0.02579,0.31739,0.00000,0.8596,1.5869,0,59.051,0.008531307,1.99,0.03344,0.33514,0.0000,0.8596,1.6757,0.00000,54.907
10/12/1981,0.005360898,1.24,0.02083,0.40940,0.0000,0.8473,2.0470,0.0000,41.872,0.001571773,6.8,0.03414,0.36513,0.0000,1.331,1.8257,0.323,30.490,0.004859402,7.8,0.02949,0.37852,0.0000,1.331,1.8926,0.1409,41.176,25,45.1,0.004250696,5.7,0.02879,0.37339,0.0000,0.8473,1.8670,0.0224,39.243,0.008238701,1.706,0.00323,0.32776,0.00000,0.8473,1.6388,0,54.224,0.007224311,2.05,0.01164,0.36186,0.0000,0.8473,1.8093,0.00000,50.245
10/13/1981,0.00549139,1.27,0.00563,0.42362,0.0000,0.8352,2.1181,0.0000,42.616,0.001762114,7.0,0.00957,0.36709,0.0000,1.317,1.8354,0.376,30.914,0.005162584,8.0,0.00897,0.39037,0.0000,1.317,1.9518,0.1506,41.849,26,32.9,0.004562246,5.8,0.00243,0.37915,0.0000,0.8352,1.8958,0.0257,39.990,0.008316487,1.737,0.00059,0.32596,0.00000,0.8352,1.6298,0,54.598,0.00734219,2.09,0.00270,0.36553,0.0000,0.8352,1.8276,0.00000,50.818
10/14/1981,0.005811076,1.28,0.00073,0.42452,0.0000,0.8232,2.1226,0.0000,44.298,0.00186905,7.1,0.00070,0.36921,0.0000,1.303,1.8460,0.376,32.564,0.005414787,8.1,0.00226,0.39255,0.0000,1.303,1.9628,0.1487,43.338,26,25.4,0.005048649,5.9,0.00003,0.38158,0.0000,0.8232,1.9079,0.0257,41.634,0.008520885,1.756,0.00003,0.31974,0.00000,0.8232,1.5987,0,55.404,0.007594401,2.11,0.00033,0.36410,0.0000,0.8232,1.8205,0.00000,51.919
10/15/1981,0.00608129,1.29,0.00293,0.42357,0.0000,0.8114,2.1178,0.0000,45.665,0.002624831,7.2,0.00520,0.37332,0.0000,1.290,1.8666,0.392,33.922,0.005651075,8.2,0.00401,0.39312,0.0000,1.290,1.9656,0.1346,44.663,26,27.8,0.005516659,5.9,0.00154,0.38519,0.0000,0.8114,1.9259,0.0273,42.948,0.008903173,1.765,0.00035,0.31148,0.00000,0.8114,1.5574,0,56.780,0.007919919,2.12,0.00152,0.35804,0.0000,0.8114,1.7902,0.00000,53.226
10/16/1981,0.00647739,1.29,0.00409,0.42169,0.0000,0.7998,2.1085,0.0000,47.587,0.004064976,7.2,0.00833,0.38000,0.0000,1.277,1.9000,0.409,36.999,0.006353684,8.2,0.00444,0.39687,0.0000,1.277,1.9844,0.1136,46.628,27,27.1,0.005998101,5.9,0.00207,0.38987,0.0000,0.7998,1.9494,0.0268,45.076,0.009236269,1.767,0.00036,0.30355,0.00000,0.7998,1.5177,0,57.955,0.008235752,2.12,0.00174,0.35081,0.0000,0.7998,1.7541,0.00000,54.484
10/17/1981,0.007477405,1.28,0.00137,0.41781,0.0000,0.7884,2.0891,0.0000,51.855,0.00546353,7.2,0.00356,0.40577,0.0000,1.263,2.0288,0.334,43.001,0.007209681,8.2,0.00220,0.40823,0.0000,1.263,2.0412,0.0804,50.574,26,25.1,0.006959577,5.9,0.00053,0.39767,0.0000,0.7884,1.9884,0.0169,49.593,0.009746623,1.762,0.00001,0.29555,0.00000,0.7884,1.4777,0,59.647,0.008874872,2.12,0.00029,0.34186,0.0000,0.7884,1.7093,0.00000,56.837
10/18/1981,0.008582275,1.28,0.00086,0.40896,0.0000,0.7771,2.0448,0.0000,55.954,0.006413068,7.2,0.00291,0.46642,0.0000,1.250,2.3321,0.171,47.560,0.008261225,8.2,0.00196,0.42004,0.0000,1.250,2.1002,0.0366,54.645,26,27.8,0.00800239,5.9,0.00028,0.40797,0.0000,0.7771,2.0398,0.0049,53.740,0.01069094,1.753,0.00000,0.28719,0.00000,0.7771,1.4359,0,62.515,0.009940224,2.11,0.00010,0.33097,0.0000,0.7771,1.6549,0.00000,60.302
